is_valid,lap_number,rider_name,rider_number,sector_number,sector_time,time_seconds
True,5,Valentin PERRONE,73,3,23.165,23.165
True,5,Valentin PERRONE,73,4,27.438,27.438
True,6,Valentin PERRONE,73,1,23.213,23.213
True,6,Valentin PERRONE,73,2,27.054,27.054
True,6,Valentin PERRONE,73,3,23.054,23.054
True,6,Valentin PERRONE,73,4,27.435,27.435
True,7,Valentin PERRONE,73,1,23.057,23.057
True,7,Valentin PERRONE,73,2,27.070,27.07
True,7,Valentin PERRONE,73,3,23.088,23.088
True,7,Valentin PERRONE,73,4,27.433,27.433
True,8,Valentin PERRONE,73,1,23.116,23.116
True,8,Valentin PERRONE,73,2,26.996,26.996
True,8,Valentin PERRONE,73,3,23.047,23.047
True,8,Valentin PERRONE,73,4,27.248,27.248
True,9,Valentin PERRONE,73,1,22.971,22.971
True,9,Valentin PERRONE,73,2,26.951,26.951
True,9,Valentin PERRONE,73,3,23.004,23.004
True,9,Valentin PERRONE,73,4,27.233,27.233
True,10,Valentin PERRONE,73,1,23.024,23.024
True,10,Valentin PERRONE,73,2,26.923,26.923
True,10,Valentin PERRONE,73,3,23.017,23.017
True,10,Valentin PERRONE,73,4,27.379,27.379
True,11,Valentin PERRONE,73,1,23.135,23.135
True,11,Valentin PERRONE,73,2,26.905,26.905
True,11,Valentin PERRONE,73,3,23.076,23.076
True,11,Valentin PERRONE,73,4,27.333,27.333
True,12,Valentin PERRONE,73,1,23.120,23.12
True,12,Valentin PERRONE,73,2,26.927,26.927
True,12,Valentin PERRONE,73,3,23.028,23.028
True,12,Valentin PERRONE,73,4,27.433,27.433
True,13,Valentin PERRONE,73,1,23.241,23.241
True,13,Valentin PERRONE,73,2,26.978,26.978
True,13,Valentin PERRONE,73,3,23.150,23.15
True,13,Valentin PERRONE,73,4,27.512,27.512
True,14,Valentin PERRONE,73,1,23.219,23.219
True,14,Valentin PERRONE,73,2,27.254,27.254
True,14,Valentin PERRONE,73,3,23.305,23.305
True,14,Valentin PERRONE,73,4,35.678,35.678
True,15,Valentin PERRONE,73,1,24.505,24.505
True,15,Valentin PERRONE,73,2,27.971,27.971
True,15,Valentin PERRONE,73,3,22.969,22.969
True,15,Valentin PERRONE,73,4,27.084,27.084
True,16,Valentin PERRONE,73,1,22.734,22.734
True,16,Valentin PERRONE,73,2,26.663,26.663
True,16,Valentin PERRONE,73,3,22.625,22.625
True,16,Valentin PERRONE,73,4,26.944,26.944
True,17,Valentin PERRONE,73,1,22.673,22.673
True,17,Valentin PERRONE,73,2,26.479,26.479
True,17,Valentin PERRONE,73,3,22.829,22.829
True,17,Valentin PERRONE,73,4,27.033,27.033
True,18,Valentin PERRONE,73,1,22.722,22.722
True,18,Valentin PERRONE,73,2,26.476,26.476
True,18,Valentin PERRONE,73,3,22.637,22.637
True,18,Valentin PERRONE,73,4,27.039,27.039
True,19,Valentin PERRONE,73,1,22.798,22.798
True,19,Valentin PERRONE,73,2,26.550,26.55
True,19,Valentin PERRONE,73,3,22.710,22.71
True,19,Valentin PERRONE,73,4,26.999,26.999
True,1,David ALMANSA,22,1,26.623,26.623
True,1,David ALMANSA,22,2,29.638,29.638
True,1,David ALMANSA,22,3,24.636,24.636
True,1,David ALMANSA,22,4,28.676,28.676
True,2,David ALMANSA,22,1,23.789,23.789
True,2,David ALMANSA,22,2,28.916,28.916
True,2,David ALMANSA,22,3,23.824,23.824
True,2,David ALMANSA,22,4,27.874,27.874
True,3,David ALMANSA,22,1,23.250,23.25
True,3,David ALMANSA,22,2,27.750,27.75
True,3,David ALMANSA,22,3,23.664,23.664
True,3,David ALMANSA,22,4,27.772,27.772
True,4,David ALMANSA,22,1,23.288,23.288
True,4,David ALMANSA,22,2,27.637,27.637
True,4,David ALMANSA,22,3,23.392,23.392
True,4,David ALMANSA,22,4,27.700,27.7
True,5,David ALMANSA,22,1,23.195,23.195
True,5,David ALMANSA,22,2,27.659,27.659
True,5,David ALMANSA,22,3,23.301,23.301
True,5,David ALMANSA,22,4,27.596,27.596
True,6,David ALMANSA,22,1,23.143,23.143
True,6,David ALMANSA,22,2,27.072,27.072
True,6,David ALMANSA,22,3,23.043,23.043
True,6,David ALMANSA,22,4,27.413,27.413
True,7,David ALMANSA,22,1,23.084,23.084
True,7,David ALMANSA,22,2,27.271,27.271
True,7,David ALMANSA,22,3,23.127,23.127
